ticker,name,market,breakout_price,breakout_pct,date,sector
1822.T,大豊建設,Standard,895.0,0.45,2026-02-27,
2784.T,アルフレッサ　ホールディングス,Prime,2679.0,1.34,2026-02-27,
3482.T,ロードスターキャピタル,Prime,3785.0,2.71,2026-02-27,
4091.T,日本酸素ホールディングス,Prime,5993.0,0.71,2026-02-27,
4189.T,ＫＨネオケム,Prime,3115.0,0.16,2026-02-27,
5122.T,オカモト,Prime,6120.0,2.86,2026-02-27,
5727.T,東邦チタニウム,Prime,2791.0,9.07,2026-02-27,
6258.T,平田機工,Prime,3055.0,0.16,2026-02-27,
7510.T,たけびし,Prime,2638.0,3.9,2026-02-27,
7995.T,バルカー,Prime,5370.0,0.56,2026-02-27,
9104.T,商船三井,Prime,5798.0,1.74,2026-02-27,
9130.T,共栄タンカー,Standard,1404.0,2.03,2026-02-27,
9980.T,ＭＲＫホールディングス,Standard,136.0,7.09,2026-02-27,
3864.T,三菱製紙,Prime,870.0,0.69,2026-03-02,
7570.T,橋本総業ホールディングス,Standard,1514.0,1.34,2026-03-02,
7821.T,前田工繊,Prime,2179.0,0.88,2026-03-02,
8133.T,伊藤忠エネクス,Prime,2106.0,0.77,2026-03-02,
8173.T,上新電機,Prime,2888.0,0.94,2026-03-02,
2321.T,ソフトフロントホールディングス,Growth,358.0,11.18,2026-03-05,
5985.T,サンコール,Standard,1442.0,0.28,2026-03-05,
6961.T,エンプラス,Prime,15280.0,1.6,2026-03-05,
3673.T,ブロードリーフ,Prime,829.0,0.97,2026-03-06,
378A.T,ヒット,Growth,2904.0,1.01,2026-03-11,
3989.T,シェアリングテクノロジー,Growth,1283.0,1.66,2026-03-11,
9101.T,日本郵船,Prime,5720.0,1.42,2026-03-11,
6387.T,サムコ,Prime,7880.0,13.71,2026-03-16,
5290.T,ベルテクスコーポレーション,Standard,2058.0,7.92,2026-03-18,
9115.T,明海グループ,Standard,1113.0,14.39,2026-03-18,
7551.T,ウェッズ,Standard,768.0,7.87,2026-04-01,
8141.T,新光商事,Prime,1266.0,0.08,2026-04-01,
1377.T,サカタのタネ,Prime,4555.0,1.33,2026-04-03,
6963.T,ローム,Prime,3608.0,1.24,2026-04-03,
9347.T,日本管財ホールディングス,Prime,3025.0,1.85,2026-04-03,
4691.T,ワシントンホテル,Standard,1765.0,2.56,2026-04-08,
5659.T,日本精線,Prime,1438.0,1.84,2026-04-08,
429A.T,テクセンドフォトマスク,Prime,3875.0,4.03,2026-04-15,
6866.T,日置電機,Prime,10700.0,8.41,2026-04-17,
2531.T,宝ホールディングス,Prime,1874.5,0.89,2026-04-20,
3444.T,菊池製作所,Standard,1449.0,15.27,2026-04-20,
3863.T,日本製紙,Prime,1451.0,0.9,2026-04-20,
7220.T,武蔵精密工業,Prime,4445.0,2.07,2026-04-22,
278A.T,Ｔｅｒｒａ　Ｄｒｏｎｅ,Growth,10770.0,0.28,2026-05-01,
5698.T,エンビプロ・ホールディングス,Standard,1164.0,1.22,2026-05-01,
3436.T,ＳＵＭＣＯ,Prime,3033.0,13.0,2026-05-07,金属製品
6135.T,牧野フライス製作所,Prime,13650.0,6.47,2026-05-07,機械
6723.T,ルネサスエレクトロニクス,Prime,3623.0,6.65,2026-05-07,電気機器
6861.T,キーエンス,Prime,79350.0,2.52,2026-05-07,電気機器
7981.T,タカラスタンダード,Prime,3210.0,3.55,2026-05-07,その他製品
3107.T,ダイワボウホールディングス,Prime,3403.0,2.28,2026-05-08,卸売業
4392.T,ＦＩＧ,Prime,429.0,5.67,2026-05-08,情報・通信業
6986.T,双葉電子工業,Prime,803.0,4.15,2026-05-08,電気機器
8704.T,トレイダーズホールディングス,Standard,1235.0,1.65,2026-05-08,証券、商品先物取引業
186A.T,アストロスケールホールディングス,Growth,1779.0,12.52,2026-05-11,サービス業
3132.T,マクニカホールディングス,Prime,3070.0,3.59,2026-05-11,卸売業
4390.T,ＩＰＳ,Prime,3995.0,1.14,2026-05-11,情報・通信業
6448.T,ブラザー工業,Prime,3480.0,4.44,2026-05-11,電気機器
6929.T,日本セラミック,Prime,4155.0,5.86,2026-05-11,電気機器
2674.T,ハードオフコーポレーション,Prime,2329.0,2.1,2026-05-12,小売業
4043.T,トクヤマ,Prime,4593.0,0.95,2026-05-12,化学
6506.T,安川電機,Prime,6970.0,1.35,2026-05-12,電気機器
9906.T,藤井産業,Standard,4755.0,2.37,2026-05-12,卸売業
4259.T,エクサウィザーズ,Growth,967.0,4.99,2026-05-14,情報・通信業
5301.T,東海カーボン,Prime,1585.0,14.86,2026-05-14,ガラス・土石製品
6845.T,アズビル,Prime,1545.5,0.98,2026-05-14,電気機器
3106.T,倉敷紡績,Prime,11550.0,8.25,2026-05-15,繊維製品
3156.T,レスター,Prime,3465.0,5.96,2026-05-15,卸売業
4980.T,デクセリアルズ,Prime,3849.0,15.48,2026-05-15,化学
9336.T,大栄環境,Prime,4300.0,0.94,2026-05-15,サービス業
1979.T,大氣社,Prime,4110.0,3.27,2026-05-19,建設業
2810.T,ハウス食品グループ本社,Prime,3476.0,0.99,2026-05-19,食料品
5363.T,東京窯業,Standard,674.0,2.43,2026-05-19,ガラス・土石製品
7327.T,第四北越フィナンシャルグループ,Prime,2093.0,0.19,2026-05-19,銀行業
7419.T,ノジマ,Prime,1399.0,1.01,2026-05-20,小売業
