ticker,name,market
1301.T,極洋,Prime
130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Growth
1332.T,ニッスイ,Prime
1333.T,マルハニチロ,Prime
135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Growth
1375.T,ユキグニファクトリー,Prime
1376.T,カネコ種苗,Standard
1377.T,サカタのタネ,Prime
1379.T,ホクト,Prime
137A.T,Ｃｏｃｏｌｉｖｅ,Growth
1380.T,秋川牧園,Standard
1381.T,アクシーズ,Standard
1382.T,ホーブ,Standard
1383.T,ベルグアース,Standard
1384.T,ホクリヨウ,Standard
138A.T,光フードサービス,Growth
1401.T,エムビーエス,Growth
1407.T,ウエストホールディングス,Standard
1414.T,ショーボンドホールディングス,Prime
1417.T,ミライト・ワン,Prime
1418.T,インターライフホールディングス,Standard
1419.T,タマホーム,Prime
141A.T,トライアルホールディングス,Growth
1420.T,サンヨーホームズ,Standard
1429.T,日本アクア,Prime
142A.T,ジンジブ,Growth
1430.T,ファーストコーポレーション,Standard
1431.T,Ｌｉｂ　Ｗｏｒｋ,Growth
1433.T,ベステラ,Prime
1434.T,ＪＥＳＣＯホールディングス,Standard
1435.T,ｒｏｂｏｔ　ｈｏｍｅ,Standard
1436.T,グリーンエナジー＆カンパニー,Growth
1438.T,岐阜造園,Standard
143A.T,イシン,Growth
1443.T,技研ホールディングス,Standard
1444.T,ニッソウ,Growth
1446.T,キャンディル,Standard
1447.T,ＳＡＡＦホールディングス,Growth
1450.T,ＴＡＮＡＫＥＮ,Standard
145A.T,Ｌ　ｉｓ　Ｂ,Growth
146A.T,コロンビア・ワークス,Standard
147A.T,ソラコム,Growth
148A.T,ハッチ・ワーク,Growth
1491.T,中外鉱業,Standard
149A.T,シンカ,Growth
150A.T,ＪＳＨ,Growth
1514.T,住石ホールディングス,Standard
1515.T,日鉄鉱業,Prime
1518.T,三井松島ホールディングス,Prime
151A.T,ダイブ,Growth
153A.T,カウリス,Growth
155A.T,情報戦略テクノロジー,Growth
156A.T,マテリアルグループ,Growth
157A.T,グリーンモンスター,Growth
1605.T,ＩＮＰＥＸ,Prime
160A.T,アズパートナーズ,Standard
1662.T,石油資源開発,Prime
1663.T,Ｋ＆Ｏエナジーグループ,Prime
166A.T,タスキホールディングス,Growth
167A.T,リョーサン菱洋ホールディングス,Prime
168A.T,イタミアート,Growth
1711.T,ＳＤＳホールディングス,Standard
1716.T,第一カッター興業,Standard
1717.T,明豊ファシリティワークス,Standard
1718.T,美樹工業,Standard
1719.T,安藤・間,Prime
1720.T,東急建設,Prime
1721.T,コムシスホールディングス,Prime
1723.T,日本電技,Standard
1724.T,シンクレイヤ,Standard
1726.T,ビーアールホールディングス,Prime
1736.T,オーテック,Standard
173A.T,ハンモック,Growth
1758.T,太洋基礎工業,Standard
175A.T,Ｗｉｌｌ　Ｓｍａｒｔ,Growth
1762.T,高松コンストラクショングループ,Prime
1764.T,工藤建設,Standard
1766.T,東建コーポレーション,Prime
